COMBINE_ALL[FlowName],COMBINE_ALL[JobLog.Automation Project Name],COMBINE_ALL[DateTimeStarted_DATE_Only],COMBINE_ALL[DateTimeStarted],COMBINE_ALL[Successful],COMBINE_ALL[Failed],COMBINE_ALL[WasSuccessful],COMBINE_ALL[FlowType],COMBINE_ALL[UOW_Type],COMBINE_ALL[BOT_Name],COMBINE_ALL[Year],COMBINE_ALL[JobLog.Cost / UOW ($20 / hour)],COMBINE_ALL[Month],COMBINE_ALL[JobLog.Project Minutes/UOW],COMBINE_ALL[FinalSuccessful],COMBINE_ALL[Minutes Saved],COMBINE_ALL[Hours Saved],COMBINE_ALL[Total Impact],COMBINE_ALL[DateTimeStarted_Central],COMBINE_ALL[DateTimeCompleted_Central],COMBINE_ALL[WeekOfYear],COMBINE_ALL[JobLog.FlowType],COMBINE_ALL[Time Slot],COMBINE_ALL[Year - Week],COMBINE_ALL[YearWeekIndex],COMBINE_ALL[createdbyyominame],COMBINE_ALL[startedon],COMBINE_ALL[machinegroupidname],COMBINE_ALL[RPA_Job_Review_Status],COMBINE_ALL[Run Time HRS],COMBINE_ALL[RPA_Completeness_Check_ProjectName],COMBINE_ALL[RPA_Completeness_Check_FlowName],COMBINE_ALL[Expected Value],COMBINE_ALL[Exp Vs Act Diff],COMBINE_ALL[Unique_Project_Names.JIRA - Epic Number],COMBINE_ALL[Unique_Project_Names.Owner],COMBINE_ALL[Day of Week],COMBINE_ALL[Day Name],COMBINE_ALL[Min_Start_Date_YearWeek],COMBINE_ALL[Min_Start_Date_2],COMBINE_ALL[YearWeek],COMBINE_ALL[DateTimeCompleted],COMBINE_ALL[Run Time (min)],COMBINE_ALL[runsessionmode],COMBINE_ALL[runsessionmodename],COMBINE_ALL[parentworkflowid],COMBINE_ALL[subcategory],COMBINE_ALL[subcategoryname],COMBINE_ALL[TriggerTypeGroup],COMBINE_ALL[Year - Wk],COMBINE_ALL[FlowGUID],COMBINE_ALL[LastModified],COMBINE_ALL[State],COMBINE_ALL[FlowOwner],COMBINE_ALL[TaskStatus],COMBINE_ALL[TriggerType],COMBINE_ALL[Job_Date_UniqueKey]
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:34:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:34:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:34:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:34:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:34:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:34:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:34:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:34:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:40:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:40:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:40:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:40:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:40:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:40:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:43:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:43:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:43:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:43:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:49:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:49:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:49:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:49:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:49:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:49:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:49:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:49:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:49:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:49:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:49:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:49:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:52:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:52:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:55:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:55:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:55:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:55:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:55:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:55:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T06:58:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T00:58:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:01:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:01:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:01:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:01:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:01:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:01:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:04:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:04:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:04:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:04:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:04:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:04:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:04:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:04:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:07:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:07:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:07:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:07:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:07:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:07:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:10:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:10:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:16:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:16:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:16:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:16:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:16:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:16:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:16:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:16:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:19:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:19:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:22:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:22:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:28:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:28:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
RevLog Submissions,SAFE-T Claims Photo Category,2025-04-14T00:00:00,2025-04-14T07:28:00,1,0,1,UOW,UOW_Other,,2025,1.6666666666666665,4,5,1,5,8.33333333333333E-02,1.67,2025-04-14T01:28:00,1899-12-30T06:00:00,16,UOW,Night,2025-16,202516,,,,Include,0,RPA_Project_Successful,RPA_FlowName_Successful,1.67,0,RPA-222,Edu Cielo,1,Monday,202503,2025-01-15T00:00:00,202516,,,,,,,,,,,,,,,,
